IMU,Strain,Mean_Acc,Std_Dev,Fold_Details
db3,sym6,98.33736259845307,0.16314759816211635,"[98.59470772910748, 98.31040669856459, 98.31040669856459, 98.08612440191388, 98.38516746411483]"
haar,haar,98.46892634554624,0.3371344637013299,"[99.10300493347287, 98.32535885167464, 98.37021531100478, 98.44497607655502, 98.10107655502392]"
haar,db3,98.46593815025884,0.3117752197191957,"[99.0282553445956, 98.26555023923444, 98.51973684210526, 98.40011961722487, 98.11602870813397]"
haar,sym6,98.52574631563209,0.26561540908701675,"[99.04320526237106, 98.34031100478468, 98.50478468899522, 98.34031100478468, 98.40011961722487]"
haar,bior6.8,98.43603205577105,0.5407636004230068,"[99.08805501569742, 97.86184210526315, 98.87858851674642, 97.74222488038278, 98.60944976076556]"
haar,dmey,98.54069891580907,0.26493879144290466,"[99.0282553445956, 98.2505980861244, 98.56459330143541, 98.47488038277513, 98.38516746411483]"
sym6,dmey,98.17886351654971,0.3383153849020123,"[98.80400657796382, 98.13098086124403, 97.93660287081339, 97.83193779904306, 98.19078947368422]"
db3,dmey,98.34333228302413,0.3557017892037344,"[98.96845567349379, 97.95155502392345, 98.44497607655502, 98.28050239234449, 98.07117224880383]"
db2,dmey,98.33734650404399,0.45567150372261145,"[99.13290476902377, 98.31040669856459, 98.41507177033493, 98.05622009569377, 97.77212918660287]"
rbio1.1,dmey,98.34930912066586,0.4278565462989826,"[99.10300493347287, 98.13098086124403, 97.80203349282297, 98.35526315789474, 98.35526315789474]"
